char,division,division_tw,region
宁,宀丁,,CJK
吓,口下,,CJK
兽,丷田一口,,CJK
夏,丆目夊,,CJK
读,讠十乛大,,CJK
街,彳土土亍,,CJK
牛,牛,,CJK
仿,亻方,,CJK
胸,月勹乂凵,⺼勹乂凵,CJK
浪,氵丶艮,,CJK
富,宀一口田,,CJK
尚,尚,,CJK
宇,宀一,,CJK
骨,骨,,CJK
智,矢口日,,CJK
纷,纟八刀,,CJK
升,丿廾,,CJK
叔,上小又,,CJK
善,羊䒑口,⺷䒑口,CJK
弱,弓冫弓冫,,CJK
架,力口木,,CJK
卖,十乛⺀大,,CJK
袋,亻弋亠𧘇,,CJK
网,冂乂乂,,CJK
朱,牛八,,CJK
骂,口口马,,CJK
雄,厶隹,,CJK
赛,宀八贝,,CJK
略,田夊口,,CJK
杯,木不,,CJK
施,方𠂉也,,CJK
墙,土十䒑口,,CJK
环,王不,,CJK
罪,罒非,,CJK
牙,牙,,CJK
窗,穴夊,穴丶,CJK
柳,木卯,,CJK
厅,厂丁,,CJK
搞,扌高,,CJK
端,立山而,,CJK
洞,氵冂一口,,CJK
适,舌辶,,CJK
拥,扌用,,CJK
释,丿米又,,CJK
洋,氵羊,,CJK
肩,户月,戶⺼,CJK
魂,二厶鬼,,CJK
闹,门亠巾,,CJK
蒙,艹冖一豕,,CJK
洗,氵⺧儿,,CJK
灯,火丁,,CJK
借,亻龷日,,CJK
伯,亻白,,CJK
免,⺈口儿,,CJK
菜,艹爫木,,CJK
验,马人一,,CJK
凤,几又,,CJK
鱼,鱼,,CJK
徐,彳人一木,,CJK
型,一廾刂土,,CJK
娜,女㇆阝,,CJK
暴,日龷八水,,CJK
亡,亡,,CJK
讨,讠寸,,CJK
辈,非车,,CJK
懂,忄艹千里,,CJK
腿,月艮辶,⺼艮辶,CJK
灭,一火,,CJK
妙,女小丿,,CJK
效,亠八乂夊,,CJK
危,⺈厂㔾,,CJK
优,亻尤,,CJK
盘,舟皿,,CJK
套,大镸,,CJK
丁,丁,,CJK
趣,走耳又,,CJK
妖,女夭,,CJK
束,木口,,CJK
杂,九木,,CJK
诗,讠土寸,讠士寸,CJK
迎,卩辶,,CJK
舍,人舌,,CJK
旧,丨日,,CJK
彩,爫木彡,,CJK
委,禾女,,CJK
挂,扌土土,,CJK
笔,⺮毛,,CJK
狗,犭勹口,,CJK
鲜,鱼羊,,CJK
纸,纟七,,CJK
抗,扌亠几,,CJK
探,扌冖八木,扌冖儿木,CJK
韩,十早㇆,,CJK
尼,尸匕,,CJK
控,扌穴工,,CJK
惜,忄龷日,,CJK
珠,王牛八,,CJK
抽,扌由,,CJK
创,人㔾刂,,CJK
归,リ彐,,CJK
挺,扌壬廴,,CJK
奋,大田,,CJK
陪,阝立口,,CJK
硬,石一日乂,,CJK
避,尸口辛辶,,CJK
园,囗一兀,,CJK
托,扌丿七,,CJK
训,讠川,,CJK
勇,マ用力,,CJK
聊,耳卯,,CJK
奶,女乃,,CJK
庄,广土,,CJK
奔,大十廾,,CJK
镇,钅十八,,CJK
拳,丷夫手,,CJK
采,爫木,,CJK
研,石一廾,,CJK
配,酉己,,CJK
介,人,,CJK
尊,丷酉寸,,CJK
冒,冂二目,,CJK
虑,虍心,,CJK
敬,艹勹口夊,卝勹口夊,CJK
丹,亠,,CJK
舒,人舌予,,CJK
蛋,乛龰虫,,CJK
哼,口了,,CJK
宋,宀木,,CJK
济,氵文,,CJK
妇,女彐,,CJK
箭,⺮䒑月刂,,CJK
择,扌又,,CJK
犯,犭㔾,,CJK
欣,斤欠,,CJK
甲,甲,,CJK
欧,匚乂欠,,CJK
课,讠日木,,CJK
扑,扌卜,,CJK
菲,艹非,,CJK
燕,卄一口灬,,CJK
曲,曲,,CJK
躲,身几木,,CJK
玄,亠幺,,CJK
幻,幺㇆,,CJK
茶,艹人木,,CJK
折,扌斤,,CJK
伊,亻彐丿,,CJK
傻,亻乂夊,,CJK
姓,女生,,CJK
源,氵厂白小,,CJK
洛,氵夊口,,CJK
遍,户冊辶,戶冊辶,CJK
臣,臣,,CJK
弃,亠厶廾,,CJK
犹,犭尤,,CJK
占,⺊口,,CJK
漂,氵覀示,,CJK
挑,扌儿冫,,CJK
获,艹犭犬,,CJK
绿,纟彐水,,CJK
峰,山夊丰,,CJK
俊,亻厶八夊,亻厶儿夊,CJK
疯,疒几乂,,CJK
列,一夕刂,,CJK
森,木木木,,CJK
妻,十彐女,一肀女,CJK
恋,亦心,,CJK
误,讠口一大,,CJK
拜,龵一丰,,CJK
伟,亻㇆,,CJK
移,禾夕夕,,CJK
纳,纟冂人,,CJK
党,尚儿,,CJK
罢,罒土厶,,CJK
腰,月覀女,⺼覀女,CJK
巧,工丂,,CJK
孤,子瓜,,CJK
闭,门丿,,CJK
